episode,length,total_reward,avg_q,exploration,land,soft_land
0,111,307.47586,1.019644,0.9950248756218907,False,False
1,97,328.59274,3.462532,0.990074503106359,False,False
2,78,393.6247,3.356028,0.98514875930981,True,True
3,75,328.85977,3.500183,0.9802475217013037,False,False
4,102,380.71774,3.1763854,0.9753706683595063,True,False
5,110,205.57535,2.8719795,0.970518077969658,False,False
6,68,315.86227,3.2293224,0.9656896298205554,False,False
7,69,303.56134,3.229671,0.9608852038015477,False,False
8,71,332.618,2.9338317,0.9561046803995501,False,False
9,100,298.46185,2.743143,0.9513479406960699,False,False
10,99,363.66785,2.2381496,0.9466148663642487,False,False
11,86,329.4008,6.0754347,0.9419053396659193,False,False
12,94,249.99564,5.1390076,0.937219243448676,False,False
13,91,152.90431,5.543537,0.9325564611429613,False,False
14,103,282.4488,5.1495476,0.9279168767591656,False,False
15,92,271.66333,5.118238,0.9233003748847419,False,False
16,77,222.3726,5.0389566,0.9187068406813353,False,False
17,104,364.16293,5.1584516,0.9141361598819259,False,False
18,65,278.99832,4.8907766,0.909588218787986,False,False
19,97,243.01918,5.125539,0.9050629042666528,False,False
20,69,335.23486,4.893008,0.9005601037479133,False,False
21,113,175.3914,5.2289243,0.8960797052218044,False,False
22,98,272.03403,7.410979,0.8916215972356263,False,False
23,62,226.29506,7.419547,0.8871856688911706,False,False
24,94,221.15092,7.0684953,0.8827718098419609,False,False
25,84,365.5604,7.4491234,0.8783799102905084,False,False
26,70,180.72414,7.0519495,0.8740098609855806,False,False
27,98,327.9199,7.1662855,0.8696615532194834,False,False
28,64,215.16542,7.4701967,0.8653348788253566,False,False
29,91,403.18225,7.503812,0.8610297301744844,False,False
30,87,262.03503,7.5932527,0.8567460001736164,False,False
31,87,128.42792,7.1537733,0.8524835822623049,False,False
32,79,357.23676,7.1391754,0.8482423704102537,False,False
33,102,331.6981,7.283988,0.8440222591146804,False,False
34,68,330.67075,10.001057,0.839823143397692,False,False
35,73,305.52148,10.01216,0.8356449188036738,False,False
36,88,136.65741,9.791145,0.8314874813966904,False,False
37,80,321.89062,9.470217,0.827350727757901,False,False
38,102,104.68495,9.519436,0.8232345549829861,False,False
39,72,271.68106,9.487814,0.8191388606795883,False,False
40,101,388.50943,9.380632,0.8150635429647646,False,False
41,102,190.79407,9.343326,0.8110085004624524,False,False
42,90,218.6981,9.415709,0.8069736323009478,False,False
43,78,336.03012,9.342928,0.8029588381103959,False,False
44,102,-160.0372,9.458971,0.7989640180202945,False,False
45,77,332.74973,13.008734,0.7949890726570096,False,False
46,69,239.27785,12.531561,0.7910339031413032,False,False
47,60,209.2504,11.279201,0.7870984110858739,False,False
48,96,-5.319603,11.835363,0.7831824985929094,False,False
49,63,311.36792,11.559442,0.7792860682516513,False,False
50,120,410.559,11.957573,0.7754090231359715,False,False
51,63,122.65282,11.682406,0.7715512668019617,False,False
52,80,221.257,11.885777,0.7677127032855341,False,False
53,83,260.63947,12.117472,0.763893237100034,False,False
54,72,345.14337,11.9285965,0.7600927732338647,False,False
55,99,395.67688,11.678386,0.7563112171481242,False,False
56,95,209.5056,12.106241,0.752548474774253,False,False
