episode,length,total_reward,avg_q,exploration,land,soft_land
0,87,-89.16717,0.15053236,0.9950248756218907,False,False
1,77,-70.205826,0.20111518,0.990074503106359,False,False
2,73,-52.5822,0.37214512,0.98514875930981,False,False
3,99,-28.815636,0.231451,0.9802475217013037,False,False
4,68,-110.56876,0.33980745,0.9753706683595063,False,False
5,124,-52.404884,0.23091653,0.970518077969658,False,False
6,84,-99.02031,0.23514481,0.9656896298205554,False,False
7,84,-77.36748,0.2528042,0.9608852038015477,False,False
8,70,-91.16399,0.35790563,0.9561046803995501,False,False
9,62,-75.16891,0.30731693,0.9513479406960699,False,False
10,106,-54.143288,0.25860992,0.9466148663642487,False,False
11,122,-175.22191,0.52376306,0.9419053396659193,False,False
12,113,-100.28234,0.33155546,0.937219243448676,False,False
13,98,-60.2228,0.36631072,0.9325564611429613,False,False
14,78,-58.73734,0.3720252,0.9279168767591656,False,False
15,111,-38.104183,0.4309353,0.9233003748847419,False,False
16,93,-80.52019,0.331598,0.9187068406813353,False,False
17,68,-98.28336,0.3466163,0.9141361598819259,False,False
18,97,-92.174545,0.35107595,0.909588218787986,False,False
19,104,-138.16269,0.33778805,0.9050629042666528,False,False
20,148,-121.464096,0.31461164,0.9005601037479133,False,False
21,114,-105.27539,-0.038932033,0.8960797052218044,False,False
22,120,-180.72296,0.26974836,0.8916215972356263,False,False
23,97,-78.33563,0.22500312,0.8871856688911706,False,False
24,121,-90.568275,0.14362752,0.8827718098419609,False,False
25,63,-73.23497,0.13105357,0.8783799102905084,False,False
26,105,-134.67073,0.14144403,0.8740098609855806,False,False
27,114,-58.155148,0.10928669,0.8696615532194834,False,False
28,77,-59.942577,0.23491693,0.8653348788253566,False,False
29,103,-3.562954,0.20885396,0.8610297301744844,False,False
30,85,-129.74869,0.17895888,0.8567460001736164,False,False
31,73,-87.721016,0.21336791,0.8524835822623049,False,False
32,132,-120.64012,0.2226192,0.8482423704102537,False,False
33,127,-92.77904,0.07810904,0.8440222591146804,False,False
34,103,-94.75686,0.15406886,0.839823143397692,False,False
35,72,-90.77101,0.115341045,0.8356449188036738,False,False
36,123,-112.46837,0.29010394,0.8314874813966904,False,False
37,120,-92.75176,0.16409555,0.827350727757901,False,False
38,97,-109.91206,0.27208263,0.8232345549829861,False,False
39,71,-53.358036,0.28966025,0.8191388606795883,False,False
40,134,-51.068935,0.03929996,0.8150635429647646,False,False
41,114,-70.31559,0.07830767,0.8110085004624524,False,False
42,98,-139.41666,0.12913255,0.8069736323009478,False,False
43,75,-34.512623,-0.029255543,0.8029588381103959,False,False
44,85,-54.0429,0.2586499,0.7989640180202945,False,False
45,106,-54.60903,0.13768616,0.7949890726570096,False,False
46,94,-77.265015,0.105118535,0.7910339031413032,False,False
47,401,584.93335,0.4038163,0.7870984110858739,False,False
48,127,-66.3773,0.065714955,0.7831824985929094,False,False
49,113,-136.89543,0.28859672,0.7792860682516513,False,False
50,110,-58.93445,0.12594299,0.7754090231359715,False,False
51,135,-49.807137,0.27998894,0.7715512668019617,False,False
52,125,-136.02109,0.23911051,0.7677127032855341,False,False
53,99,-87.9773,0.3738522,0.763893237100034,False,False
54,118,-160.22656,0.363362,0.7600927732338647,False,False
55,86,-68.78791,0.26089767,0.7563112171481242,False,False
56,85,-77.829506,0.29256716,0.752548474774253,False,False
57,127,-82.31194,-0.17548916,0.7488044525116946,False,False
58,111,-57.55596,-0.011796951,0.7450790572255668,False,False
59,114,-35.39769,0.050797492,0.7413721962443451,False,False
60,92,-57.576195,0.011103004,0.7376837773575574,False,False
61,125,-98.19168,-0.058133136,0.73401370881349,False,False
62,111,-113.85851,0.18820366,0.7303618993169055,False,False
63,192,-65.81056,0.08582987,0.7267282580267718,False,False
